price,seller_rating,seller_reviews,product_images,description_length,shipping_time_days,spelling_errors,domain_age_days,contact_info_complete,return_policy_clear,payment_methods_count,views,purchases,wishlist_adds,certification_badges,warranty_months,bulk_orders,unusual_payment_patterns,ip_location_mismatch,seller_country,shipping_origin,brand_suspicious,category_Cosmetics,category_Electronics,category_Fashion,category_Luxury Goods,category_Pharmaceuticals,is_counterfeit
277.2,3.5,890,4,128.0,21.0,0,1440,0,1,2,1495,68,105,1.0,4.0,0,0,0,1,6,0,0,0,1,0,0,0
89.18,3.978268041237113,1859,3,224.0,31.0,4,206,0,0,3,3007,359,104,1.0,14.0,0,0,1,5,5,0,0,1,0,0,0,1
168.4,2.7,1096,2,98.0,10.0,0,1069,1,1,3,4872,283,141,1.0,1.0,1,0,0,7,1,1,0,0,1,0,0,1
130.98,3.1,1296,3,255.0,22.0,0,514,1,1,2,2212,208,60,0.0,0.0,0,1,0,7,6,0,0,0,0,0,0,0
5.0,2.6,0,2,20.0,32.0,5,5,0,0,1,1376,129,20,0.0,1.0,0,1,0,8,9,0,0,0,0,0,1,1
216.41,4.0,0,2,443.0,10.0,0,5,0,1,5,3415,351,89,1.0,17.0,0,0,0,5,4,0,0,0,0,0,0,0
78.06,2.6,0,3,147.0,23.0,4,1973,1,1,1,1630,181,42,1.0,0.0,0,0,0,3,6,0,0,0,0,0,1,1
106.12,3.3,0,3,20.0,39.0,0,5,0,0,1,1764,183,83,0.0,0.0,0,0,0,3,6,1,0,0,0,0,0,1
99.48,3.6,1569,4,548.0,1.0,1,3342,1,1,3,2421,74,138,2.0,16.0,1,0,0,5,8,0,0,0,0,1,0,0
6.22,4.1,0,3,432.0,19.0,2,1688,0,0,2,4245,325,195,0.0,13.0,1,1,0,8,5,0,0,1,0,0,0,0
121.67,4.0,1236,1,87.0,5.0,1,5,1,1,4,4822,431,188,0.0,18.0,1,1,1,4,7,0,0,0,0,0,0,1
97.89,3.6,3386,6,187.0,21.0,0,1585,1,1,1,1324,103,20,2.0,2.0,0,0,1,9,0,1,0,0,0,0,1,1
23.93,4.3,703,2,201.0,14.0,1,574,0,1,4,4108,200,229,0.0,3.0,1,0,0,2,9,1,0,1,0,0,0,1
248.68,3.0,0,5,470.0,9.0,0,1640,1,1,4,750,104,48,2.0,11.0,0,0,0,8,2,1,0,1,0,0,0,1
106.63,3.6,2640,1,597.0,17.0,0,1529,0,1,1,634,28,44,1.0,18.0,0,1,0,8,7,0,0,0,0,0,0,0
136.6,4.6,3093,6,315.0,10.0,0,3491,1,1,3,1227,111,53,2.0,17.0,1,0,0,4,8,0,0,0,0,0,1,1
101.55,3.978268041237113,5423,1,403.7255102040816,36.0,0,5,1,0,4,3771,226,20,0.0,4.0,0,0,1,9,4,1,0,0,0,0,0,1
222.77,3.7,0,4,348.0,20.0,1,683,1,1,1,3995,234,188,2.0,18.0,1,0,0,0,2,0,0,0,1,0,0,0
46.28,3.7,0,2,218.0,27.0,1,1462,1,0,2,903,105,28,3.0,0.0,0,1,0,3,3,0,0,0,0,0,0,1
5.0,3.0,1079,1,43.0,30.0,1,2887,1,1,1,2440,175,104,0.0,3.0,0,1,0,7,4,1,0,1,0,0,0,1
372.22,4.2,5013,4,387.0,12.0,0,2974,0,1,1,4356,506,45,2.0,23.0,0,1,0,3,8,0,0,1,0,0,0,0
287.0,3.2,807,5,386.0,4.0,1,497,0,1,4,2641,223,103,2.0,10.0,1,0,0,3,1,1,0,0,0,0,1,1
152.92,4.0,0,1,203.0,22.0,0,1560,1,1,3,1470,49,95,1.0,11.0,1,0,0,7,6,0,0,0,0,1,0,0
151.15,3.6,2827,5,692.0,3.0,0,2016,1,1,1,4946,187,364,0.0,6.0,0,1,1,8,9,0,0,0,0,0,1,0
220.73,5.0,0,1,683.0,7.0,0,1903,1,0,3,3763,174,26,0.0,15.0,1,0,0,8,0,1,0,0,0,0,1,1
263.82,3.9,3035,7,610.0,15.0,1,5,1,1,4,2719,298,193,2.0,16.0,0,0,0,1,5,0,0,1,0,0,0,0
124.98,5.0,4236,4,654.0,14.0,0,945,0,1,2,4005,453,38,3.0,28.0,0,0,0,1,1,0,0,1,0,0,0,0
114.05,3.9,0,6,360.0,8.0,2,825,1,0,1,126,14,2,1.6757142857142857,0.0,1,0,0,0,7,0,0,0,0,0,0,1
213.74,3.9,646,6,98.0,31.0,0,1097,0,1,1,4251,308,72,1.0,14.0,0,0,0,7,4,0,0,0,0,0,1,0
5.0,3.1,2131,3,237.0,12.0,2,5,0,1,1,1877,208,43,3.0,12.0,0,0,1,3,6,1,0,1,0,0,0,1
35.36,3.978268041237113,43,2,105.0,13.0,2,1164,1,0,1,3493,300,175,2.0,0.0,1,1,0,1,7,0,0,1,0,0,0,1
248.88,4.5,1645,1,710.0,27.0,2,611,1,1,4,1719,114,46,3.0,21.0,0,0,0,9,0,1,0,0,0,0,0,0
10.58,3.4,1992,4,497.0,28.0,3,778,1,0,2,3595,115,64,3.0,5.0,0,0,1,5,8,0,0,0,1,0,0,0
73.24,3.8,1628,3,562.0,8.0,1,1846,0,1,1,2603,46,168,1.0,16.0,1,0,0,2,6,0,0,0,1,0,0,0
198.71,4.9,3256,4,448.0,15.0,0,973,1,1,1,3208,423,127,1.0,12.0,0,0,0,8,5,0,0,0,1,0,0,1
85.16,4.1,0,8,510.0,8.0,1,3674,1,1,3,2276,279,70,3.0,4.0,0,0,0,2,3,1,1,0,0,0,0,1
5.0,4.0,0,5,591.0,16.0,0,1095,0,1,1,834,68,21,1.0,14.0,0,0,0,6,7,1,0,0,0,0,1,1
208.4,3.978268041237113,0,3,706.0,13.0,3,2165,0,1,1,359,13,3,3.0,9.0,1,1,1,0,6,1,1,0,0,0,0,1
140.99,3.9,1302,6,89.0,21.0,0,2320,0,0,2,358,52,24,1.0,12.0,0,0,0,4,5,0,0,0,0,1,0,0
122.27,3.2,393,4,352.0,9.0,0,659,1,1,3,3452,467,34,0.0,0.0,0,0,0,8,8,1,0,0,0,1,0,1
179.81,4.3,0,5,346.0,27.0,3,2068,0,1,1,871,71,29,0.0,19.0,1,1,0,5,3,0,0,0,1,0,0,1
107.75,4.3,0,5,378.0,29.0,0,2356,1,1,5,3201,66,137,1.0,1.0,0,1,0,0,7,0,1,0,0,0,0,0
183.36,3.8,2872,6,757.0,8.0,1,301,1,1,5,4515,602,262,2.0,3.0,0,0,0,3,6,0,0,0,1,0,0,1
150.33,3.6,1854,5,239.0,28.0,2,1688,0,0,4,3291,428,56,3.0,0.0,1,0,1,0,3,0,0,0,1,0,0,0
174.86,3.6,1850,3,350.0,18.0,0,1897,1,0,4,4013,334,216,3.0,23.0,0,0,0,9,7,1,0,1,0,0,0,1
40.85,2.7,0,4,203.0,32.0,1,502,1,0,1,423,38,32,0.0,13.0,0,0,0,9,5,0,0,1,0,0,0,1
24.91,4.5,2621,5,445.0,19.0,1,3790,1,0,2,1657,90,100,4.0,16.0,0,0,1,5,7,0,0,0,1,0,0,0
38.42,3.6,0,3,313.0,19.0,2,813,1,1,1,1553,156,122,1.0,23.0,1,0,0,4,9,0,0,0,0,1,0,0
88.97,3.1,0,1,20.0,27.0,2,474,1,0,1,360,9,13,0.0,8.0,0,1,0,4,9,0,0,0,1,0,0,0
226.06,3.4,1771,4,436.0,18.0,1,877,0,1,3,1611,24,41,4.0,27.0,0,1,0,0,5,0,0,0,1,0,0,1
166.07,4.7,5531,6,768.0,1.0,0,1115,0,0,4,4104,591,174,3.0,4.0,0,1,1,1,7,0,0,0,0,0,1,0
363.21,5.0,6760,5,809.0,1.0,0,2752,1,1,6,3226,295,251,4.0,10.0,1,0,0,6,5,1,1,0,0,0,0,1
48.98,3.7,3388,1,503.0,8.0,0,4000,0,1,1,3955,324,72,3.0,4.0,0,0,0,5,2,0,0,1,0,0,0,0
5.0,3.4,82,4,336.0,20.0,1,2371,0,1,1,4935,311,242,0.0,0.0,0,0,0,3,0,1,0,1,0,0,0,1
248.51,4.5,2184,6,594.0,4.0,0,2360,1,0,3,201,21,5,3.0,29.0,1,0,0,2,1,0,0,0,0,1,0,0
199.7,3.2,1618,1,271.0,44.0,1,782,1,1,3,2112,112,75,0.0,14.0,0,0,1,2,7,1,0,0,0,1,0,1
190.75,3.7,2320,6,901.0,9.0,2,2829,0,0,5,2125,151,168,4.0,10.0,1,0,0,3,5,0,0,0,0,1,0,1
5.0,3.5,530,1,360.0,39.0,1,2026,1,0,1,4739,334,313,3.0,20.0,0,0,0,0,5,0,0,0,0,1,0,0
141.9,3.4,463,1,264.0,22.0,0,1478,1,1,1,1967,37,120,2.0,10.0,0,0,0,7,9,1,0,0,0,0,0,0
250.65,3.6,1958,1,442.0,19.0,0,710,1,1,3,3311,199,249,3.0,19.0,0,0,0,3,3,1,0,0,0,0,1,1
363.49,3.9,3231,3,531.0,1.0,1,1361,1,1,2,2917,288,35,2.0,11.988333333333333,0,0,0,0,3,0,0,0,1,0,0,0
126.45,3.3,0,2,59.0,26.0,2,1008,1,0,1,748,15,28,3.0,3.0,1,0,0,6,2,1,0,1,0,0,0,1
151.38,4.0,2007,1,471.0,11.0,1,1177,1,0,2,242,27,11,2.0,2.0,0,0,0,4,3,0,0,0,0,0,1,0
209.29,4.5,3278,1,353.0,17.0,0,1796,0,0,3,3327,460,95,5.0,10.0,0,0,0,5,6,0,0,0,0,1,0,0
143.99,3.8,2205,3,20.0,29.0,1,5,1,0,1,640,28,4,1.0,13.0,1,1,0,6,6,0,0,0,0,0,0,1
31.58,4.5,1492,3,977.0,28.0,1,5,1,1,3,3327,104,138,1.0,10.0,1,0,0,3,6,0,0,0,0,1,0,0
156.67,3.3,1639,2,309.0,9.0,1,1455,1,1,4,3176,59,56,1.0,14.0,0,0,0,1,7,0,0,0,0,0,1,0
142.42,3.6,491,3,472.0,11.0,0,1340,0,1,1,4354,85,337,1.0,17.0,0,0,0,5,5,0,0,0,0,1,0,1
80.23,4.1,1908,4,769.0,9.0,2,999,1,1,4,4525,112,144,0.0,17.0,0,0,0,3,7,0,1,0,0,0,0,1
140.01,4.6,2525,6,545.0,8.0,0,2289,1,1,4,319,24,18,0.0,13.0,0,0,0,7,2,0,0,0,0,0,1,1
154.8,4.9,935,3,616.0,1.0,0,2084,0,1,4,2984,113,96,4.0,13.0,1,0,0,5,9,0,0,0,1,0,0,0
119.72,2.8,1629,2,100.0,14.0,2,545,1,0,4,274,11,4,1.0,18.0,0,1,0,2,9,0,0,0,1,0,0,1
187.24,4.9,6591,7,716.0,3.0,0,2991,1,0,6,3831,358,185,3.0,23.0,0,0,0,0,7,0,0,0,0,0,1,0
146.22,4.1,1807,2,521.0,4.0,0,411,0,1,2,3163,52,30,2.0,4.0,1,0,0,7,8,0,0,1,0,0,0,1
5.0,3.1,598,3,20.0,27.0,3,5,1,0,1,1169,155,44,0.0,2.0,1,0,0,0,2,1,0,0,0,0,1,1
158.41,4.0,2311,2,151.0,29.0,0,1758,0,0,3,4648,105,302,0.0,5.0,1,1,0,2,7,0,1,0,0,0,0,0
185.9,3.9,800,4,662.0,1.0,0,3134,1,1,2,4739,693,332,1.0,13.0,0,0,0,5,2,0,0,0,0,1,0,0
246.83,4.0,2855,5,374.0,1.0,0,865,0,1,5,390,18,4,4.0,23.0,1,0,0,0,2,0,0,0,0,0,0,1
220.39,4.5,2178,3,528.0,11.0,0,2602,1,1,2,2761,160,45,3.0,24.0,1,0,0,9,1,1,0,0,0,0,1,1
98.99,4.1,2540,1,459.0,14.0,1,688,1,0,3,2409,360,87,0.0,18.0,1,0,0,4,1,0,0,0,0,0,1,0
84.56,3.3,801,3,464.0,36.0,1,949,1,1,1,1643,112,87,2.0,5.0,1,1,1,7,5,0,0,0,1,0,0,1
161.34,4.4,1139,1,109.0,16.0,1,1364,1,0,3,1925,69,36,2.0,8.0,0,0,0,9,8,0,0,0,1,0,0,0
213.97,4.5,741,3,745.0,12.0,0,5,1,0,2,4230,319,336,1.0,13.0,1,0,0,2,6,0,0,1,0,0,0,0
285.24,4.3,1138,3,468.0,4.0,0,1190,1,0,2,3577,138,148,3.0,11.0,0,0,0,8,8,0,1,0,0,0,0,0
284.74,2.7,130,1,539.0,7.0,1,1836,1,1,3,4465,212,291,0.0,5.0,0,0,0,1,3,1,0,0,0,0,1,1
5.0,3.0,0,1,180.0,36.0,0,769,0,0,1,62,4,4,0.0,8.0,0,1,1,6,2,1,0,0,0,0,1,1
230.04,4.4,1888,1,500.0,1.0,0,347,1,0,3,704,16,22,1.0,17.0,0,0,1,6,3,0,0,1,0,0,0,0
