price,seller_rating,seller_reviews,product_images,description_length,shipping_time_days,spelling_errors,domain_age_days,contact_info_complete,return_policy_clear,payment_methods_count,views,purchases,wishlist_adds,certification_badges,warranty_months,bulk_orders,unusual_payment_patterns,ip_location_mismatch,is_counterfeit,seller_country,shipping_origin,brand_suspicious,category_Cosmetics,category_Electronics,category_Fashion,category_Luxury Goods,category_Pharmaceuticals
277.2,3.5,890,4,128.0,21.0,0,1440,0,1,2,1495,68,105,1.0,4.0,0,0,0,0,1,6,0,0,0,1,0,0
89.18,3.978268041237113,1859,3,224.0,31.0,4,206,0,0,3,3007,359,104,1.0,14.0,0,0,1,1,5,5,0,0,1,0,0,0
168.4,2.7,1096,2,98.0,10.0,0,1069,1,1,3,4872,283,141,1.0,1.0,1,0,0,1,7,1,1,0,0,1,0,0
130.98,3.1,1296,3,255.0,22.0,0,514,1,1,2,2212,208,60,0.0,0.0,0,1,0,0,7,6,0,0,0,0,0,0
5.0,2.6,0,2,20.0,32.0,5,5,0,0,1,1376,129,20,0.0,1.0,0,1,0,1,8,9,0,0,0,0,0,1
216.41,4.0,0,2,443.0,10.0,0,5,0,1,5,3415,351,89,1.0,17.0,0,0,0,0,5,4,0,0,0,0,0,0
78.06,2.6,0,3,147.0,23.0,4,1973,1,1,1,1630,181,42,1.0,0.0,0,0,0,1,3,6,0,0,0,0,0,1
106.12,3.3,0,3,20.0,39.0,0,5,0,0,1,1764,183,83,0.0,0.0,0,0,0,1,3,6,1,0,0,0,0,0
99.48,3.6,1569,4,548.0,1.0,1,3342,1,1,3,2421,74,138,2.0,16.0,1,0,0,0,5,8,0,0,0,0,1,0
6.22,4.1,0,3,432.0,19.0,2,1688,0,0,2,4245,325,195,0.0,13.0,1,1,0,0,8,5,0,0,1,0,0,0
121.67,4.0,1236,1,87.0,5.0,1,5,1,1,4,4822,431,188,0.0,18.0,1,1,1,1,4,7,0,0,0,0,0,0
97.89,3.6,3386,6,187.0,21.0,0,1585,1,1,1,1324,103,20,2.0,2.0,0,0,1,1,9,0,1,0,0,0,0,1
23.93,4.3,703,2,201.0,14.0,1,574,0,1,4,4108,200,229,0.0,3.0,1,0,0,1,2,9,1,0,1,0,0,0
248.68,3.0,0,5,470.0,9.0,0,1640,1,1,4,750,104,48,2.0,11.0,0,0,0,1,8,2,1,0,1,0,0,0
106.63,3.6,2640,1,597.0,17.0,0,1529,0,1,1,634,28,44,1.0,18.0,0,1,0,0,8,7,0,0,0,0,0,0
136.6,4.6,3093,6,315.0,10.0,0,3491,1,1,3,1227,111,53,2.0,17.0,1,0,0,1,4,8,0,0,0,0,0,1
101.55,3.978268041237113,5423,1,403.7255102040816,36.0,0,5,1,0,4,3771,226,20,0.0,4.0,0,0,1,1,9,4,1,0,0,0,0,0
222.77,3.7,0,4,348.0,20.0,1,683,1,1,1,3995,234,188,2.0,18.0,1,0,0,0,0,2,0,0,0,1,0,0
46.28,3.7,0,2,218.0,27.0,1,1462,1,0,2,903,105,28,3.0,0.0,0,1,0,1,3,3,0,0,0,0,0,0
5.0,3.0,1079,1,43.0,30.0,1,2887,1,1,1,2440,175,104,0.0,3.0,0,1,0,1,7,4,1,0,1,0,0,0
372.22,4.2,5013,4,387.0,12.0,0,2974,0,1,1,4356,506,45,2.0,23.0,0,1,0,0,3,8,0,0,1,0,0,0
287.0,3.2,807,5,386.0,4.0,1,497,0,1,4,2641,223,103,2.0,10.0,1,0,0,1,3,1,1,0,0,0,0,1
152.92,4.0,0,1,203.0,22.0,0,1560,1,1,3,1470,49,95,1.0,11.0,1,0,0,0,7,6,0,0,0,0,1,0
151.15,3.6,2827,5,692.0,3.0,0,2016,1,1,1,4946,187,364,0.0,6.0,0,1,1,0,8,9,0,0,0,0,0,1
220.73,5.0,0,1,683.0,7.0,0,1903,1,0,3,3763,174,26,0.0,15.0,1,0,0,1,8,0,1,0,0,0,0,1
263.82,3.9,3035,7,610.0,15.0,1,5,1,1,4,2719,298,193,2.0,16.0,0,0,0,0,1,5,0,0,1,0,0,0
124.98,5.0,4236,4,654.0,14.0,0,945,0,1,2,4005,453,38,3.0,28.0,0,0,0,0,1,1,0,0,1,0,0,0
114.05,3.9,0,6,360.0,8.0,2,825,1,0,1,126,14,2,1.6757142857142857,0.0,1,0,0,1,0,7,0,0,0,0,0,0
213.74,3.9,646,6,98.0,31.0,0,1097,0,1,1,4251,308,72,1.0,14.0,0,0,0,0,7,4,0,0,0,0,0,1
