product_id,seller_id,category,brand,price,seller_rating,seller_reviews,product_images,description_length,shipping_time_days,spelling_errors,domain_age_days,contact_info_complete,return_policy_clear,payment_methods_count,listing_date,seller_country,shipping_origin,views,purchases,wishlist_adds,certification_badges,warranty_months,bulk_orders,unusual_payment_patterns,ip_location_mismatch,is_counterfeit
pid_04853,seller_7303,Fashion,HealthCare Plus,277.2,3.5,890,4,128.0,21.0,0,1440,False,True,2,2024-01-28,CA,IN,1495,68,105,1.0,4.0,False,False,False,False
pid_01929,seller_2679,Electronics,PureSkin,89.18,,1859,3,224.0,31.0,4,206,False,False,3,2024-01-11,GB,GB,3007,359,104,1.0,14.0,False,False,True,True
pid_04636,seller_4857,Fashion,AutoPart5 Pro,168.4,2.7,1096,2,98.0,10.0,0,1069,True,True,3,2025-02-07,JP,CA,4872,283,141,1.0,1.0,True,False,False,True
pid_00033,seller_8367,Automotive,ClassicWear,130.98,3.1,1296,3,255.0,22.0,0,514,True,True,2,2025-05-05,JP,IN,2212,208,60,0.0,0.0,False,True,False,False
pid_01004,seller_6794,Pharmaceuticals,ExclusiveItems,5.0,2.6,0,2,20.0,32.0,5,5,False,False,1,2025-04-02,KR,US,1376,129,20,0.0,1.0,False,True,False,True
pid_02119,seller_6740,Automotive,PremiumCraft,216.41,4.0,0,2,443.0,10.0,0,5,False,True,5,2025-06-07,GB,FR,3415,351,89,1.0,17.0,False,False,False,False
pid_00503,seller_3456,Pharmaceuticals,ClassicWear,78.06,2.6,0,3,147.0,23.0,4,1973,True,True,1,2024-05-14,DE,IN,1630,181,42,1.0,0.0,False,False,False,True
pid_02555,seller_5363,Automotive,We1lnessLab,106.12,3.3,0,3,20.0,39.0,0,5,False,False,1,2025-09-01,DE,IN,1764,183,83,0.0,0.0,False,False,False,True
pid_01524,seller_2817,Luxury Goods,BeautyLux,99.48,3.6,1569,4,548.0,1.0,1,3342,True,True,3,2024-03-03,GB,KR,2421,74,138,2.0,16.0,True,False,False,False
pid_00610,seller_3354,Electronics,FashionForward,6.22,4.1,0,3,432.0,19.0,2,1688,False,False,2,2024-05-09,KR,GB,4245,325,195,0.0,13.0,True,True,False,False
pid_00453,seller_2634,Automotive,ExclusiveItems,121.67,4.0,1236,1,87.0,5.0,1,5,True,True,4,2024-03-07,FR,JP,4822,431,188,0.0,18.0,True,True,True,True
pid_04948,seller_5074,Pharmaceuticals,C@rTech,97.89,3.6,3386,6,187.0,21.0,0,1585,True,True,1,2025-02-02,US,AU,1324,103,20,2.0,2.0,False,False,True,True
pid_02883,seller_7649,Electronics,CircuitM@ster,23.93,4.3,703,2,201.0,14.0,1,574,False,True,4,2025-12-21,CN,US,4108,200,229,0.0,3.0,True,False,False,True
pid_02366,seller_5701,Electronics,BioMed So1utions,248.68,3.0,0,5,470.0,9.0,0,1640,True,True,4,2024-09-01,KR,CN,750,104,48,2.0,11.0,False,False,False,True
pid_01277,seller_5924,Automotive,WellnessLab,106.63,3.6,2640,1,597.0,17.0,0,1529,False,True,1,2024-03-14,KR,JP,634,28,44,1.0,18.0,False,True,False,False
